Date,Fund,NAV,India_10Y_Yield,Total_AUM_Lakhs,Reported_NAV_Total,Cash_Liquidity,AAA_Sovereign,AA_Rated,Below_AA
2020-01-01,HDFC,16.9948,6.501,1448708.52,100,0,30.66,46.05,23.29
2020-01-02,HDFC,17.0101,6.502,1448708.52,100,0,30.66,46.05,23.29
2020-01-03,HDFC,17.0252,6.51,1448708.52,100,0,30.66,46.05,23.29
2020-01-06,HDFC,17.0293,6.565,1448708.52,100,0,30.66,46.05,23.29
2020-01-07,HDFC,17.037,6.55,1448708.52,100,0,30.66,46.05,23.29
2020-01-08,HDFC,17.0436,6.557,1448708.52,100,0,30.66,46.05,23.29
2020-01-09,HDFC,17.0536,6.524,1448708.52,100,0,30.66,46.05,23.29
10-01-2020,HDFC,17.0508,6.585,1448708.52,100,0,30.66,46.05,23.29
13-01-2020,HDFC,17.0569,6.592,1448708.52,100,0,30.66,46.05,23.29
14-01-2020,HDFC,17.0476,6.662,1448708.52,100,0,30.66,46.05,23.29
15-01-2020,HDFC,17.0581,6.623,1448708.52,100,0,30.66,46.05,23.29
16-01-2020,HDFC,17.0721,6.598,1448708.52,100,0,30.66,46.05,23.29
17-01-2020,HDFC,17.0752,6.622,1448708.52,100,0,30.66,46.05,23.29
20-01-2020,HDFC,17.0906,6.639,1448708.52,100,0,30.66,46.05,23.29
21-01-2020,HDFC,17.0995,6.633,1448708.52,100,0,30.66,46.05,23.29
22-01-2020,HDFC,17.1157,6.635,1448708.52,100,0,30.66,46.05,23.29
23-01-2020,HDFC,17.124,6.596,1448708.52,100,0,30.66,46.05,23.29
24-01-2020,HDFC,17.1338,6.578,1448708.52,100,0,30.66,46.05,23.29
27-01-2020,HDFC,17.1481,6.551,1448708.52,100,0,30.66,46.05,23.29
28-01-2020,HDFC,17.1526,6.575,1448708.52,100,0,30.66,46.05,23.29
29-01-2020,HDFC,17.1549,6.568,1448708.52,100,0,30.66,46.05,23.29
30-01-2020,HDFC,17.1556,6.558,1448708.52,100,0,30.66,46.05,23.29
31-01-2020,HDFC,17.1523,6.599,1448708.52,100,0,30.66,46.05,23.29
03-02-2020,HDFC,17.1839,6.503,1469743.51,100,0,28.95,49.87,21.18
04-02-2020,HDFC,17.1931,6.504,1469743.51,100,0,28.95,49.87,21.18
05-02-2020,HDFC,17.196,6.505,1469743.51,100,0,28.95,49.87,21.18
06-02-2020,HDFC,17.2541,6.446,1469743.51,100,0,28.95,49.87,21.18
07-02-2020,HDFC,17.294,6.439,1469743.51,100,0,28.95,49.87,21.18
10-02-2020,HDFC,17.3105,6.44,1469743.51,100,0,28.95,49.87,21.18
11-02-2020,HDFC,17.3095,6.464,1469743.51,100,0,28.95,49.87,21.18
12-02-2020,HDFC,17.3105,6.473,1469743.51,100,0,28.95,49.87,21.18
13-02-2020,HDFC,17.3311,6.423,1469743.51,100,0,28.95,49.87,21.18
14-02-2020,HDFC,17.3446,6.369,1469743.51,100,0,28.95,49.87,21.18
17-02-2020,HDFC,17.3583,6.387,1469743.51,100,0,28.95,49.87,21.18
18-02-2020,HDFC,17.3654,6.384,1469743.51,100,0,28.95,49.87,21.18
20-02-2020,HDFC,17.3768,6.422,1469743.51,100,0,28.95,49.87,21.18
24-02-2020,HDFC,17.3962,6.367,1469743.51,100,0,28.95,49.87,21.18
25-02-2020,HDFC,17.3938,6.367,1469743.51,100,0,28.95,49.87,21.18
26-02-2020,HDFC,17.4032,6.346,1469743.51,100,0,28.95,49.87,21.18
27-02-2020,HDFC,17.4039,6.378,1469743.51,100,0,28.95,49.87,21.18
28-02-2020,HDFC,17.3977,6.371,1469743.51,100,0,28.95,49.87,21.18
02-03-2020,HDFC,17.4087,6.346,1381213.49,100,0,24.09,51.8,24.11
03-03-2020,HDFC,17.409,6.342,1381213.49,100,0,24.09,51.8,24.11
04-03-2020,HDFC,17.4523,6.226,1381213.49,100,0,24.09,51.8,24.11
05-03-2020,HDFC,17.4551,6.239,1381213.49,100,0,24.09,51.8,24.11
06-03-2020,HDFC,17.4601,6.185,1381213.49,100,0,24.09,51.8,24.11
09-03-2020,HDFC,17.4402,6.066,1381213.49,100,0,24.09,51.8,24.11
11-03-2020,HDFC,17.4208,6.125,1381213.49,100,0,24.09,51.8,24.11
12-03-2020,HDFC,17.3428,6.236,1381213.49,100,0,24.09,51.8,24.11
13-03-2020,HDFC,17.2886,6.322,1381213.49,100,0,24.09,51.8,24.11
16-03-2020,HDFC,17.2936,6.208,1381213.49,100,0,24.09,51.8,24.11
17-03-2020,HDFC,17.2307,6.265,1381213.49,100,0,24.09,51.8,24.11
18-03-2020,HDFC,17.1553,6.296,1381213.49,100,0,24.09,51.8,24.11
19-03-2020,HDFC,17.0416,6.41,1381213.49,100,0,24.09,51.8,24.11
20-03-2020,HDFC,17.0862,6.259,1381213.49,100,0,24.09,51.8,24.11
23-03-2020,HDFC,17.043,6.379,1381213.49,100,0,24.09,51.8,24.11
24-03-2020,HDFC,17.0386,6.304,1381213.49,100,0,24.09,51.8,24.11
26-03-2020,HDFC,17.0096,6.225,1381213.49,100,0,24.09,51.8,24.11
27-03-2020,HDFC,17.3994,6.144,1381213.49,100,0,24.09,51.8,24.11
30-03-2020,HDFC,17.4042,6.209,1381213.49,100,0,24.09,51.8,24.11
31-03-2020,HDFC,17.4432,6.138,1381213.49,100,0,24.09,51.8,24.11
03-04-2020,HDFC,17.4317,6.306,843569.52,100,0,25.67,39.36,34.97
07-04-2020,HDFC,17.3878,6.414,843569.52,100,0,25.67,39.36,34.97
08-04-2020,HDFC,17.3157,6.441,843569.52,100,0,25.67,39.36,34.97
09-04-2020,HDFC,17.3045,6.49,843569.52,100,0,25.67,39.36,34.97
13-04-2020,HDFC,17.3067,6.495,843569.52,100,0,25.67,39.36,34.97
15-04-2020,HDFC,17.2326,6.425,843569.52,100,0,25.67,39.36,34.97
16-04-2020,HDFC,17.2214,6.44,843569.52,100,0,25.67,39.36,34.97
17-04-2020,HDFC,17.2805,6.347,843569.52,100,0,25.67,39.36,34.97
20-04-2020,HDFC,17.3018,6.209,843569.52,100,0,25.67,39.36,34.97
21-04-2020,HDFC,17.2959,6.212,843569.52,100,0,25.67,39.36,34.97
22-04-2020,HDFC,17.31,6.224,843569.52,100,0,25.67,39.36,34.97
23-04-2020,HDFC,17.3299,6.06,843569.52,100,0,25.67,39.36,34.97
24-04-2020,HDFC,17.2578,6.167,843569.52,100,0,25.67,39.36,34.97
27-04-2020,HDFC,17.1157,6.153,843569.52,100,0,25.67,39.36,34.97
28-04-2020,HDFC,17.0635,6.137,843569.52,100,0,25.67,39.36,34.97
29-04-2020,HDFC,17.0514,6.125,843569.52,100,0,25.67,39.36,34.97
30-04-2020,HDFC,17.0764,6.11,843569.52,100,0,25.67,39.36,34.97
04-05-2020,HDFC,17.091,6.084,653860.32,100,0,32.45,40.66,26.89
05-05-2020,HDFC,17.1331,6.073,653860.32,100,0,32.45,40.66,26.89
06-05-2020,HDFC,17.1452,6.028,653860.32,100,0,32.45,40.66,26.89
