Date,Fund,NAV,India_10Y_Yield,Total_AUM_Lakhs,Reported_NAV_Total,Cash_Liquidity,AAA_Sovereign,AA_Rated,Below_AA
2020-01-01,HDFC,16.9948,,1448708.52,100,0,30.66,46.05,23.29
2020-01-02,HDFC,17.0101,,1448708.52,100,0,30.66,46.05,23.29
2020-01-03,HDFC,17.0252,,1448708.52,100,0,30.66,46.05,23.29
2020-01-06,HDFC,17.0293,,1448708.52,100,0,30.66,46.05,23.29
2020-01-07,HDFC,17.037,,1448708.52,100,0,30.66,46.05,23.29
2020-01-08,HDFC,17.0436,,1448708.52,100,0,30.66,46.05,23.29
2020-01-09,HDFC,17.0536,,1448708.52,100,0,30.66,46.05,23.29
2020-01-10,HDFC,17.0508,,1448708.52,100,0,30.66,46.05,23.29
2020-01-13,HDFC,17.0569,,1448708.52,100,0,30.66,46.05,23.29
2020-01-14,HDFC,17.0476,,1448708.52,100,0,30.66,46.05,23.29
2020-01-15,HDFC,17.0581,,1448708.52,100,0,30.66,46.05,23.29
2020-01-16,HDFC,17.0721,,1448708.52,100,0,30.66,46.05,23.29
2020-01-17,HDFC,17.0752,,1448708.52,100,0,30.66,46.05,23.29
2020-01-20,HDFC,17.0906,,1448708.52,100,0,30.66,46.05,23.29
2020-01-21,HDFC,17.0995,,1448708.52,100,0,30.66,46.05,23.29
2020-01-22,HDFC,17.1157,,1448708.52,100,0,30.66,46.05,23.29
2020-01-23,HDFC,17.124,,1448708.52,100,0,30.66,46.05,23.29
2020-01-24,HDFC,17.1338,,1448708.52,100,0,30.66,46.05,23.29
2020-01-27,HDFC,17.1481,6.551,1448708.52,100,0,30.66,46.05,23.29
2020-01-28,HDFC,17.1526,6.575,1448708.52,100,0,30.66,46.05,23.29
2020-01-29,HDFC,17.1549,6.568,1448708.52,100,0,30.66,46.05,23.29
2020-01-30,HDFC,17.1556,6.558,1448708.52,100,0,30.66,46.05,23.29
2020-01-31,HDFC,17.1523,6.599,1448708.52,100,0,30.66,46.05,23.29
2020-02-03,HDFC,17.1839,6.503,1469743.51,100,0,28.95,49.87,21.18
2020-02-04,HDFC,17.1931,6.504,1469743.51,100,0,28.95,49.87,21.18
2020-02-05,HDFC,17.196,6.505,1469743.51,100,0,28.95,49.87,21.18
2020-02-06,HDFC,17.2541,6.446,1469743.51,100,0,28.95,49.87,21.18
2020-02-07,HDFC,17.294,6.439,1469743.51,100,0,28.95,49.87,21.18
2020-02-10,HDFC,17.3105,6.44,1469743.51,100,0,28.95,49.87,21.18
2020-02-11,HDFC,17.3095,6.464,1469743.51,100,0,28.95,49.87,21.18
2020-02-12,HDFC,17.3105,6.473,1469743.51,100,0,28.95,49.87,21.18
2020-02-13,HDFC,17.3311,6.423,1469743.51,100,0,28.95,49.87,21.18
2020-02-14,HDFC,17.3446,6.369,1469743.51,100,0,28.95,49.87,21.18
2020-02-17,HDFC,17.3583,6.387,1469743.51,100,0,28.95,49.87,21.18
2020-02-18,HDFC,17.3654,6.384,1469743.51,100,0,28.95,49.87,21.18
2020-02-20,HDFC,17.3768,6.422,1469743.51,100,0,28.95,49.87,21.18
2020-02-24,HDFC,17.3962,6.367,1469743.51,100,0,28.95,49.87,21.18
2020-02-25,HDFC,17.3938,6.367,1469743.51,100,0,28.95,49.87,21.18
2020-02-26,HDFC,17.4032,6.346,1469743.51,100,0,28.95,49.87,21.18
2020-02-27,HDFC,17.4039,6.378,1469743.51,100,0,28.95,49.87,21.18
2020-02-28,HDFC,17.3977,6.371,1469743.51,100,0,28.95,49.87,21.18
2020-03-02,HDFC,17.4087,6.346,1381213.49,100,0,24.09,51.8,24.11
2020-03-03,HDFC,17.409,6.342,1381213.49,100,0,24.09,51.8,24.11
2020-03-04,HDFC,17.4523,6.226,1381213.49,100,0,24.09,51.8,24.11
2020-03-05,HDFC,17.4551,6.239,1381213.49,100,0,24.09,51.8,24.11
2020-03-06,HDFC,17.4601,6.185,1381213.49,100,0,24.09,51.8,24.11
2020-03-09,HDFC,17.4402,6.066,1381213.49,100,0,24.09,51.8,24.11
2020-03-11,HDFC,17.4208,6.125,1381213.49,100,0,24.09,51.8,24.11
2020-03-12,HDFC,17.3428,6.236,1381213.49,100,0,24.09,51.8,24.11
2020-03-13,HDFC,17.2886,6.322,1381213.49,100,0,24.09,51.8,24.11
2020-03-16,HDFC,17.2936,6.208,1381213.49,100,0,24.09,51.8,24.11
2020-03-17,HDFC,17.2307,6.265,1381213.49,100,0,24.09,51.8,24.11
2020-03-18,HDFC,17.1553,6.296,1381213.49,100,0,24.09,51.8,24.11
2020-03-19,HDFC,17.0416,6.41,1381213.49,100,0,24.09,51.8,24.11
2020-03-20,HDFC,17.0862,6.259,1381213.49,100,0,24.09,51.8,24.11
2020-03-23,HDFC,17.043,6.379,1381213.49,100,0,24.09,51.8,24.11
2020-03-24,HDFC,17.0386,6.304,1381213.49,100,0,24.09,51.8,24.11
2020-03-26,HDFC,17.0096,6.225,1381213.49,100,0,24.09,51.8,24.11
2020-03-27,HDFC,17.3994,6.144,1381213.49,100,0,24.09,51.8,24.11
2020-03-30,HDFC,17.4042,6.209,1381213.49,100,0,24.09,51.8,24.11
2020-03-31,HDFC,17.4432,6.138,1381213.49,100,0,24.09,51.8,24.11
2020-04-03,HDFC,17.4317,6.306,843569.52,100,0,25.67,39.36,34.97
2020-04-07,HDFC,17.3878,6.414,843569.52,100,0,25.67,39.36,34.97
2020-04-08,HDFC,17.3157,6.441,843569.52,100,0,25.67,39.36,34.97
2020-04-09,HDFC,17.3045,6.49,843569.52,100,0,25.67,39.36,34.97
2020-04-13,HDFC,17.3067,6.495,843569.52,100,0,25.67,39.36,34.97
2020-04-15,HDFC,17.2326,6.425,843569.52,100,0,25.67,39.36,34.97
2020-04-16,HDFC,17.2214,6.44,843569.52,100,0,25.67,39.36,34.97
2020-04-17,HDFC,17.2805,6.347,843569.52,100,0,25.67,39.36,34.97
2020-04-20,HDFC,17.3018,6.209,843569.52,100,0,25.67,39.36,34.97
2020-04-21,HDFC,17.2959,6.212,843569.52,100,0,25.67,39.36,34.97
2020-04-22,HDFC,17.31,6.224,843569.52,100,0,25.67,39.36,34.97
2020-04-23,HDFC,17.3299,6.06,843569.52,100,0,25.67,39.36,34.97
2020-04-24,HDFC,17.2578,6.167,843569.52,100,0,25.67,39.36,34.97
2020-04-27,HDFC,17.1157,6.153,843569.52,100,0,25.67,39.36,34.97
2020-04-28,HDFC,17.0635,6.137,843569.52,100,0,25.67,39.36,34.97
2020-04-29,HDFC,17.0514,6.125,843569.52,100,0,25.67,39.36,34.97
2020-04-30,HDFC,17.0764,6.11,843569.52,100,0,25.67,39.36,34.97
2020-05-04,HDFC,17.091,6.084,653860.32,100,0,32.45,40.66,26.89
2020-05-05,HDFC,17.1331,6.073,653860.32,100,0,32.45,40.66,26.89
2020-05-06,HDFC,17.1452,6.028,653860.32,100,0,32.45,40.66,26.89
2020-05-08,HDFC,17.1725,5.967,653860.32,100,0,32.45,40.66,26.89
2020-05-11,HDFC,17.175,6.167,653860.32,100,0,32.45,40.66,26.89
2020-05-12,HDFC,17.1999,6.163,653860.32,100,0,32.45,40.66,26.89
2020-05-13,HDFC,17.2104,6.095,653860.32,100,0,32.45,40.66,26.89
2020-05-14,HDFC,17.2333,6.056,653860.32,100,0,32.45,40.66,26.89
2020-05-15,HDFC,17.2321,6.081,653860.32,100,0,32.45,40.66,26.89
2020-05-18,HDFC,17.2669,6.05,653860.32,100,0,32.45,40.66,26.89
2020-05-19,HDFC,17.2745,6.035,653860.32,100,0,32.45,40.66,26.89
2020-05-20,HDFC,17.2707,6.041,653860.32,100,0,32.45,40.66,26.89
2020-05-21,HDFC,17.2844,6.034,653860.32,100,0,32.45,40.66,26.89
2020-05-22,HDFC,17.3283,5.961,653860.32,100,0,32.45,40.66,26.89
2020-05-26,HDFC,17.3609,5.975,653860.32,100,0,32.45,40.66,26.89
2020-05-27,HDFC,17.3691,5.984,653860.32,100,0,32.45,40.66,26.89
2020-05-28,HDFC,17.3435,5.99,653860.32,100,0,32.45,40.66,26.89
2020-05-29,HDFC,17.3484,6.013,653860.32,100,0,32.45,40.66,26.89
2020-06-01,HDFC,17.371,6.042,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-02,HDFC,17.3539,5.998,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-03,HDFC,17.3644,6.031,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-04,HDFC,17.3739,5.796,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-05,HDFC,17.3835,5.821,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-08,HDFC,17.3789,5.807,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-09,HDFC,17.4048,5.775,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-10,HDFC,17.3362,5.772,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-11,HDFC,17.3615,5.781,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-12,HDFC,17.3586,5.796,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-15,HDFC,17.3851,5.792,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
2020-06-16,HDFC,17.4103,5.846,630880.51,100,0,33.849999999999994,38.13999999999999,28.01
